date,serial_number,model,capacity_bytes,failure,smart_1_normalized,smart_3_normalized,smart_4_normalized,smart_5_normalized,smart_7_normalized,smart_9_normalized,smart_10_normalized,smart_184_normalized,smart_187_normalized,smart_190_normalized,smart_191_normalized,smart_193_normalized,smart_194_normalized,smart_195_normalized,smart_197_normalized,smart_198_normalized
2019-12-31,ZA174K8Y,ST8000NM0055,8001563222016,0,83.0,95.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,65.0,95.0,95.0,35.0,83.0,100.0,100.0
2019-12-31,ZA174K9A,ST8000NM0055,8001563222016,0,83.0,95.0,100.0,100.0,91.0,76.0,100.0,100.0,100.0,58.0,1.0,96.0,42.0,83.0,100.0,100.0
2019-12-31,ZA174KA2,ST8000NM0055,8001563222016,0,79.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,65.0,1.0,95.0,35.0,79.0,100.0,100.0
2019-12-31,ZA174KA5,ST8000NM0055,8001563222016,0,74.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,57.0,96.0,96.0,43.0,74.0,100.0,100.0
2019-12-31,ZA174KAA,ST8000NM0055,8001563222016,0,82.0,95.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,76.0,97.0,96.0,24.0,82.0,100.0,100.0
2019-12-31,ZA174KAE,ST8000NM0055,8001563222016,0,83.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,57.0,5.0,95.0,43.0,83.0,100.0,100.0
2019-12-31,ZA174KAK,ST8000NM0055,8001563222016,0,83.0,96.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,67.0,96.0,96.0,33.0,83.0,100.0,100.0
2019-12-31,ZA174KAM,ST8000NM0055,8001563222016,0,84.0,95.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,66.0,97.0,96.0,34.0,84.0,100.0,100.0
2019-12-31,ZA174KAP,ST8000NM0055,8001563222016,0,83.0,89.0,99.0,100.0,94.0,92.0,100.0,100.0,100.0,67.0,99.0,99.0,33.0,83.0,100.0,100.0
2019-12-31,ZA174KAQ,ST8000NM0055,8001563222016,0,81.0,98.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,66.0,95.0,96.0,34.0,81.0,100.0,100.0
2019-12-31,ZA174KBM,ST8000NM0055,8001563222016,0,82.0,99.0,100.0,100.0,93.0,76.0,100.0,100.0,100.0,59.0,95.0,96.0,41.0,82.0,100.0,100.0
